title,actor,score,url_now
霸王别姬,"主演：张国荣,张丰毅,巩俐",9.5,https://maoyan.com/board/4?offset=0
肖申克的救赎,"主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",9.5,https://maoyan.com/board/4?offset=0
罗马假日,"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",9.1,https://maoyan.com/board/4?offset=0
这个杀手不太冷,"主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼",9.5,https://maoyan.com/board/4?offset=0
泰坦尼克号,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",9.5,https://maoyan.com/board/4?offset=0
唐伯虎点秋香,"主演：周星驰,巩俐,郑佩佩",9.1,https://maoyan.com/board/4?offset=0
千与千寻,"主演：柊瑠美,入野自由,夏木真理",9.3,https://maoyan.com/board/4?offset=0
魂断蓝桥,"主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森",9.2,https://maoyan.com/board/4?offset=0
乱世佳人,"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",9.1,https://maoyan.com/board/4?offset=0
辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",9.2,https://maoyan.com/board/4?offset=10
喜剧之王,"主演：周星驰,莫文蔚,张柏芝",9.1,https://maoyan.com/board/4?offset=10
大闹天宫,"主演：邱岳峰,毕克,富润生",9.0,https://maoyan.com/board/4?offset=10
音乐之声,"主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",9.0,https://maoyan.com/board/4?offset=10
春光乍泄,"主演：张国荣,梁朝伟,张震",9.2,https://maoyan.com/board/4?offset=10
剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",8.8,https://maoyan.com/board/4?offset=10
美丽人生,"主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",9.3,https://maoyan.com/board/4?offset=10
海上钢琴师,"主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",9.2,https://maoyan.com/board/4?offset=10
黑客帝国,"主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",9.0,https://maoyan.com/board/4?offset=10
哈利·波特与魔法石,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",9.1,https://maoyan.com/board/4?offset=20
加勒比海盗,"主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",8.9,https://maoyan.com/board/4?offset=20
射雕英雄传之东成西就,"主演：张国荣,梁朝伟,张学友",8.9,https://maoyan.com/board/4?offset=20
无间道,"主演：刘德华,梁朝伟,黄秋生",9.1,https://maoyan.com/board/4?offset=20
楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",8.9,https://maoyan.com/board/4?offset=20
教父2,"主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",9.0,https://maoyan.com/board/4?offset=20
蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",9.3,https://maoyan.com/board/4?offset=20
指环王1：护戒使者,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",9.0,https://maoyan.com/board/4?offset=20
指环王2：双塔奇兵,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",9.1,https://maoyan.com/board/4?offset=20
机器人总动员,"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",9.3,https://maoyan.com/board/4?offset=30
狮子王,"主演：马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",8.8,https://maoyan.com/board/4?offset=30
活着,"主演：葛优,巩俐,牛犇",9.0,https://maoyan.com/board/4?offset=30
拯救大兵瑞恩,"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",8.9,https://maoyan.com/board/4?offset=30
忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",9.3,https://maoyan.com/board/4?offset=30
哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",9.0,https://maoyan.com/board/4?offset=30
疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",9.5,https://maoyan.com/board/4?offset=30
阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",9.1,https://maoyan.com/board/4?offset=30
盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",9.2,https://maoyan.com/board/4?offset=30
搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",8.8,https://maoyan.com/board/4?offset=40
幽灵公主,"主演：松田洋治,石田百合子,田中裕子",8.9,https://maoyan.com/board/4?offset=40
风之谷,"主演：岛本须美,永井一郎,坂本千夏",8.9,https://maoyan.com/board/4?offset=40
V字仇杀队,"主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",8.8,https://maoyan.com/board/4?offset=40
十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",9.1,https://maoyan.com/board/4?offset=40
当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",8.9,https://maoyan.com/board/4?offset=40
放牛班的春天,"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",8.8,https://maoyan.com/board/4?offset=40
勇敢的心,"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",8.8,https://maoyan.com/board/4?offset=40
三傻大闹宝莱坞,"主演：阿米尔·汗,黄渤,卡琳娜·卡普",9.1,https://maoyan.com/board/4?offset=40
黑客帝国3：矩阵革命,"主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯",8.8,https://maoyan.com/board/4?offset=50
驯龙高手,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",9.0,https://maoyan.com/board/4?offset=50
断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",9.0,https://maoyan.com/board/4?offset=50
速度与激情5,"主演：范·迪塞尔,保罗·沃克,道恩·强森",9.2,https://maoyan.com/board/4?offset=50
神偷奶爸,"主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",9.0,https://maoyan.com/board/4?offset=50
少年派的奇幻漂流,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",9.1,https://maoyan.com/board/4?offset=50
飞屋环游记,"主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",8.9,https://maoyan.com/board/4?offset=50
大话西游之月光宝盒,"主演：周星驰,莫文蔚,吴孟达",9.6,https://maoyan.com/board/4?offset=50
怦然心动,"主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",8.9,https://maoyan.com/board/4?offset=50
鬼子来了,"主演：姜文,姜宏波,陈强",8.9,https://maoyan.com/board/4?offset=60
末代皇帝,"主演：尊龙,陈冲,彼得·奥图尔",8.8,https://maoyan.com/board/4?offset=60
美丽心灵,"主演：罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",8.8,https://maoyan.com/board/4?offset=60
无敌破坏王,"主演：约翰·C·赖利,萨拉·西尔弗曼,简·林奇",9.1,https://maoyan.com/board/4?offset=60
夜访吸血鬼,"主演：汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",8.8,https://maoyan.com/board/4?offset=60
蝙蝠侠：黑暗骑士崛起,"主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",8.9,https://maoyan.com/board/4?offset=60
倩女幽魂,"主演：张国荣,王祖贤,午马",9.2,https://maoyan.com/board/4?offset=60
哈利·波特与死亡圣器（下）,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",9.0,https://maoyan.com/board/4?offset=60
本杰明·巴顿奇事,"主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",8.8,https://maoyan.com/board/4?offset=60
甜蜜蜜,"主演：黎明,张曼玉,曾志伟",9.2,https://maoyan.com/board/4?offset=70
触不可及,"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",9.1,https://maoyan.com/board/4?offset=70
新龙门客栈,"主演：张曼玉,梁家辉,甄子丹",8.8,https://maoyan.com/board/4?offset=70
熔炉,"主演：孔刘,郑有美,金智英",8.8,https://maoyan.com/board/4?offset=70
初恋这件小事,"主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",8.8,https://maoyan.com/board/4?offset=70
大话西游之大圣娶亲,"主演：周星驰,朱茵,莫文蔚",8.8,https://maoyan.com/board/4?offset=70
